날짜,발전수요량,기온(°C)
2023-11-15,647157.4583333334,13.108333333333334
2023-11-16,700749.0416666666,11.795833333333334
2023-11-17,706723.6666666666,10.275
2023-11-18,699826.5416666666,8.5
2023-11-19,631832.4583333334,13.170833333333334
2023-11-20,657119.6666666666,12.9125
2023-11-21,666603.25,12.3375
2023-11-22,651604.375,14.483333333333334
2023-11-23,655057.7916666666,17.179166666666667
2023-11-24,718290.0416666666,9.012500000000001
2023-11-25,679543.5,6.495833333333334
2023-11-26,645264.9166666666,8.716666666666667
2023-11-27,699359.5833333334,12.604166666666666
2023-11-28,711864.25,11.091666666666667
2023-11-29,706230.0416666666,11.258333333333333
2023-11-30,770774.2083333334,6.879166666666666
2023-12-01,786694.375,6.845833333333334
2023-12-02,720337.0833333334,8.9
2023-12-03,676413.4166666666,10.4625
2023-12-04,720098.0416666666,8.454166666666667
2023-12-05,695955.4583333334,11.674999999999999
2023-12-06,708048.0416666666,13.691666666666668
2023-12-07,700871.8333333334,12.404166666666667
2023-12-08,679900.9166666666,13.854166666666666
2023-12-09,643657.2083333334,15.612499999999999
2023-12-10,628409.75,17.041666666666668
2023-12-11,691194.4583333334,17.183333333333334
2023-12-12,711427.9583333334,11.604166666666666
2023-12-13,687688.75,13.729166666666666
2023-12-14,701667.7083333334,16.304166666666667
2023-12-15,697321.4166666666,15.795833333333334
2023-12-16,751523.5833333334,6.220833333333334
2023-12-17,792458.3333333334,2.7375000000000003
2023-12-18,835576.6666666666,3.579166666666667
2023-12-19,836187.625,5.55
2023-12-20,848632.2083333334,5.108333333333333
2023-12-21,905787.375,1.4833333333333334
2023-12-22,897401.0,1.4083333333333332
2023-12-23,833925.2916666666,3.529166666666667
2023-12-24,796956.2083333334,5.4875
2023-12-25,792035.125,6.491666666666667
2023-12-26,818160.0416666666,8.120833333333334
2023-12-27,781628.9166666666,9.570833333333333
2023-12-28,771346.9166666666,9.75
2023-12-29,779987.5416666666,8.533333333333333
2023-12-30,718226.875,10.616666666666667
2023-12-31,733146.5833333334,10.579166666666667
2024-01-01,715734.625,8.575000000000001
2024-01-02,754954.1666666666,9.904166666666667
2024-01-03,786605.375,8.65
2024-01-04,787843.2083333334,8.4375
2024-01-05,776223.25,10.116666666666667
2024-01-06,726090.6666666666,9.6875
2024-01-07,766149.7083333334,6.370833333333334
2024-01-08,846608.0,4.695833333333334
2024-01-09,857521.1666666666,8.320833333333333
2024-01-10,825060.4166666666,7.3999999999999995
2024-01-11,829413.4583333334,7.1625000000000005
2024-01-12,812907.9166666666,10.329166666666667
2024-01-13,766919.0,7.033333333333334
2024-01-14,722512.125,10.379166666666666
2024-01-15,796714.6666666666,6.358333333333333
2024-01-16,804235.6666666666,7.270833333333333
2024-01-17,748611.125,13.045833333333334
2024-01-18,744544.7916666666,13.695833333333333
2024-01-19,785525.875,10.883333333333333
2024-01-20,760076.375,11.233333333333334
2024-01-21,746467.7083333334,8.458333333333334
2024-01-22,886441.75,2.4791666666666665
2024-01-23,921789.25,0.5125000000000001
2024-01-24,924073.9583333334,2.5749999999999997
2024-01-25,902529.8333333334,3.9166666666666665
2024-01-26,866596.625,5.683333333333334
2024-01-27,798330.0,7.020833333333333
2024-01-28,771237.6666666666,6.3999999999999995
2024-01-29,833075.625,5.758333333333333
2024-01-30,848503.7083333334,7.1125
2024-01-31,751344.4166666666,12.095833333333333
2024-02-01,800452.8333333334,9.929166666666667
2024-02-02,801307.875,8.762500000000001
2024-02-03,785877.8333333334,9.720833333333333
2024-02-04,713567.2916666666,10.758333333333333
